,Unnamed: 0,username,timestamp,imagename,cored,diffuse,CAA,negative,flag,notsure
0,0,UG1,2019-02-04 22:38:31,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,0,1,0,0,0,0
1,1,UG1,2019-01-30 20:28:59,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,0,1,0,0,0,0
2,2,UG1,2019-01-31 23:28:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,0,0,1,0,0,0
3,3,UG1,2019-02-04 23:02:21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,0,1,0,0,0,0
4,4,UG1,2019-02-26 22:16:03,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,0,1,0,0,0,0
5,5,UG1,2019-02-04 21:04:06,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,0,0,1,0,0,0
6,6,UG1,2019-03-05 19:30:25,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,0,1,0,0,0,0
7,7,UG1,2019-02-19 21:07:58,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,0,1,0,0,0,0
8,8,UG1,2019-01-31 23:09:07,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,0,1,0,0,0,0
9,9,UG1,2019-02-20 20:22:48,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,0,0,1,0,0,0
10,10,UG1,2019-02-19 21:07:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,0,1,1,0,1,0
11,11,UG1,2019-01-31 23:12:52,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,0,1,1,0,1,0
12,12,UG1,2019-03-05 20:10:12,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,0,1,0,0,0,0
13,13,UG1,2019-02-04 22:49:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,0,1,0,0,0,0
14,14,UG1,2019-03-07 18:44:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,0,1,0,0,0,0
15,15,UG1,2019-03-05 19:34:01,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,0,1,0,0,0,0
16,16,UG1,2019-02-27 17:56:36,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,0,1,0,0,0,0
17,17,UG1,2019-03-05 20:19:24,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,0,1,0,0,0,0
18,18,UG1,2019-02-20 20:22:05,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,0,1,0,0,0,0
19,19,UG1,2019-03-06 20:59:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,0,1,0,0,0,0
20,20,UG1,2019-02-19 21:59:46,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,0,1,0,0,0,0
21,21,UG1,2019-03-05 20:40:03,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_4.jpg,0,1,0,0,0,0
22,22,UG1,2019-02-19 21:02:42,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_5.jpg,0,0,0,0,0,1
23,23,UG1,2019-02-20 22:04:25,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_6.jpg,0,1,0,0,0,0
24,24,UG1,2019-02-27 17:31:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_7.jpg,0,1,0,0,0,0
25,25,UG1,2019-03-06 21:35:21,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_0.jpg,0,1,0,0,0,0
26,26,UG1,2019-01-31 23:13:19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_1.jpg,0,1,0,0,0,0
27,27,UG1,2019-02-20 20:20:41,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_10.jpg,0,1,0,0,0,0
28,28,UG1,2019-02-26 22:31:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_11.jpg,0,1,0,0,0,0
29,29,UG1,2019-02-04 22:36:58,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_13.jpg,0,1,0,0,0,0
30,30,UG1,2019-02-26 22:22:14,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_14.jpg,0,1,0,0,0,0
31,31,UG1,2019-03-07 18:47:03,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_15.jpg,0,1,0,0,0,0
32,32,UG1,2019-02-20 22:20:24,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_19.jpg,0,1,0,0,0,0
33,33,UG1,2019-03-05 19:13:05,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_2.jpg,0,1,0,0,0,0
34,34,UG1,2019-02-19 21:19:14,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_21.jpg,0,1,0,0,0,0
35,35,UG1,2019-03-07 18:55:31,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_4.jpg,0,1,0,0,0,0
36,36,UG1,2019-01-31 23:10:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_5.jpg,0,1,0,0,0,0
37,37,UG1,2019-03-05 20:21:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_6.jpg,0,1,0,0,0,0
38,38,UG1,2019-03-06 20:41:52,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_20_9.jpg,0,1,0,0,0,0
39,39,UG1,2019-03-06 21:19:37,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_0.jpg,0,1,0,0,0,0
40,40,UG1,2019-03-07 18:56:42,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_10.jpg,0,1,0,0,0,0
41,41,UG1,2019-02-20 20:37:27,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_13.jpg,0,1,0,0,0,0
42,42,UG1,2019-03-05 20:07:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_14.jpg,0,1,0,0,0,0
43,43,UG1,2019-02-27 17:55:43,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_15.jpg,0,1,0,0,0,0
44,44,UG1,2019-01-30 20:27:31,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_16.jpg,0,1,0,0,0,0
45,45,UG1,2019-02-20 22:23:52,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_17.jpg,0,1,0,0,0,0
46,46,UG1,2019-02-20 20:26:28,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_20.jpg,0,0,1,0,0,0
47,47,UG1,2019-02-19 21:03:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_22.jpg,0,1,0,0,0,0
48,48,UG1,2019-03-06 21:01:44,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_23.jpg,0,1,0,0,0,0
49,49,UG1,2019-02-20 22:14:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_24.jpg,0,1,0,0,0,0
50,50,UG1,2019-03-06 20:55:00,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_25.jpg,0,1,0,0,0,0
51,51,UG1,2019-02-20 20:43:58,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_28.jpg,0,1,0,0,0,0
52,52,UG1,2019-02-04 22:39:02,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_29.jpg,0,1,0,0,0,0
53,53,UG1,2019-03-05 19:57:50,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_31.jpg,0,1,0,0,0,0
54,54,UG1,2019-02-20 22:06:30,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_34.jpg,0,1,0,0,0,0
55,55,UG1,2019-01-30 20:20:40,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_35.jpg,0,1,0,0,0,0
56,56,UG1,2019-02-19 20:47:58,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_37.jpg,0,1,0,0,0,0
57,57,UG1,2019-01-30 20:24:49,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_38.jpg,0,1,0,0,0,0
58,58,UG1,2019-03-07 19:05:27,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_39.jpg,0,1,0,0,0,0
59,59,UG1,2019-03-05 20:13:19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_4.jpg,0,1,0,0,0,0
60,60,UG1,2019-02-19 21:01:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_41.jpg,0,1,0,0,0,0
61,61,UG1,2019-02-19 21:58:17,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_42.jpg,0,1,0,0,0,0
62,62,UG1,2019-01-30 20:25:38,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_43.jpg,0,1,0,0,0,0
63,63,UG1,2019-02-19 21:08:53,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_44.jpg,0,1,0,0,0,0
64,64,UG1,2019-02-27 17:48:45,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_45.jpg,0,1,0,0,0,0
65,65,UG1,2019-02-19 21:39:35,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_46.jpg,0,1,0,0,0,0
66,66,UG1,2019-02-19 21:39:09,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_47.jpg,0,0,0,0,0,1
67,67,UG1,2019-02-20 20:23:44,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_49.jpg,0,1,0,0,0,0
68,68,UG1,2019-02-20 22:21:57,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_5.jpg,0,0,0,0,0,1
69,69,UG1,2019-01-31 23:30:19,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_11_15_52.jpg,0,1,0,0,0,0
