,Unnamed: 0,imagename,username,cored,diffuse,CAA,negative,flag,notsure
0,10592,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_1.jpg,consensus_of_5,0,0,0,0,0,0
1,18092,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_10.jpg,consensus_of_5,0,1,0,0,0,0
2,16774,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_11.jpg,consensus_of_5,0,0,1,0,0,0
3,2979,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_13.jpg,consensus_of_5,0,1,0,0,0,0
4,16506,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_16.jpg,consensus_of_5,0,1,0,0,0,0
5,7038,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_2.jpg,consensus_of_5,0,0,1,0,0,0
6,8066,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_20.jpg,consensus_of_5,0,0,0,0,0,0
7,2784,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_22.jpg,consensus_of_5,0,0,0,0,0,0
8,8448,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_25.jpg,consensus_of_5,0,1,0,0,0,0
9,16968,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_27.jpg,consensus_of_5,0,0,1,0,0,0
10,16905,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_28.jpg,consensus_of_5,0,1,0,0,1,0
11,17857,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_29.jpg,consensus_of_5,0,0,0,0,0,0
12,1079,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_3.jpg,consensus_of_5,0,1,0,0,0,0
13,4672,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_30.jpg,consensus_of_5,0,1,0,0,0,0
14,11020,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_4.jpg,consensus_of_5,0,1,0,0,0,0
15,16142,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_7.jpg,consensus_of_5,0,0,0,0,0,0
16,18026,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_15_8.jpg,consensus_of_5,0,1,0,0,0,0
17,19597,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_0.jpg,consensus_of_5,0,1,0,0,0,0
18,2032,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_1.jpg,consensus_of_5,0,1,0,0,0,0
19,17970,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_2.jpg,consensus_of_5,0,1,0,0,0,0
20,3217,47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_0_19_3.jpg,consensus_of_5,0,1,0,0,0,0
