,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_14_38_45.jpg,NP2,0.0,1.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/14/38.jpg,[1280 1077  256  256],None (label),0,1,0,0,0,0
1,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],None (label),0,0,0,0,1,0
2,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_16_25_3.jpg,NA (prediction),0.9683773000000001,0.8647594999999999,0.00010688950000000001,NA37UCDtemporalgyri _4G8/0/16/25.jpg,"[1233, 0, 256, 256]",NP2,0,0,0,0,0,1
3,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],None (label),1,0,0,0,0,0
4,phase1/blobs/NA22UCDtemporalgyri _4G8/NA22UCDtemporalgyri _4G8_26_5_0.jpg,NP2,1.0,0.0,0.0,phase1/10x_tiles/NA22UCDtemporalgyri _4G8/0/26/5.jpg,[163   0 256 256],None (label),1,0,0,0,0,0
5,phase1/blobs/47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_16_33_16.jpg,NP2,0.0,0.0,1.0,phase1/10x_tiles/47-3_UTSW_temporal_6E10/0/16/33.jpg,[798 567 256 256],None (label),0,0,1,0,0,0
6,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_15_11_25.jpg,NA (prediction),0.95445937,0.8881594,3.090645e-07,NA28UCDtemporalgyri _4G8/0/15/11.jpg,"[357, 1280, 256, 256]",NP2,0,1,0,0,0,0
7,phase1/blobs/cw18-2/cw18-2_11_3_1.jpg,NP2,0.0,0.0,1.0,phase1/10x_tiles/cw18-2/0/11/3.jpg,[  38 1191  256  256],None (label),0,0,1,0,0,0
8,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],None (label),0,0,0,1,0,0
9,phase1/blobs/cw17-34/cw17-34_25_25_29.jpg,NP2,1.0,1.0,0.0,phase1/10x_tiles/cw17-34/0/25/25.jpg,[569 656 256 256],None (label),1,1,0,0,1,0
