,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,0,0,0,1775,phase1/blobs/25-3_UTSW_temporal_6E10/25-3_UTSW_temporal_6E10_8_25_48.jpg,NP5,0.0,1.0,0.0,phase1/10x_tiles/25-3_UTSW_temporal_6E10/0/8/25.jpg,[975 119 256 256],None (label),0,1,0,0,0,0
1,1,1,1,3387,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],None (label),1,0,0,0,0,0
2,2,2,2,376,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_11_14_25.jpg,NA (prediction),0.9436874,0.71348614,9.021438e-05,40-3_UTSW_temporal_6E10/0/11/14.jpg,"[1280, 1280, 256, 256]",NP5,1,0,0,0,0,0
3,3,3,3,3524,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],None (label),1,0,0,0,0,0
4,4,4,4,1634,phase1/blobs/cw17-11/cw17-11_22_30_0.jpg,NP5,1.0,0.0,0.0,phase1/10x_tiles/cw17-11/0/22/30.jpg,[ 31   0 256 256],None (label),0,1,0,0,0,0
5,5,5,5,39,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_6_36_1.jpg,NP5,0.0,1.0,1.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/6/36.jpg,[568   0 256 256],None (label),0,1,0,0,0,0
6,6,6,6,426,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_14_25_4.jpg,NA (prediction),0.85482526,0.77778816,0.0001091102,40-3_UTSW_temporal_6E10/0/14/25.jpg,"[609, 0, 256, 256]",NP5,0,1,0,0,0,0
7,7,7,7,35,phase1/blobs/cw17-11/cw17-11_25_22_69.jpg,NP5,0.0,0.0,1.0,phase1/10x_tiles/cw17-11/0/25/22.jpg,[ 358 1157  256  256],None (label),0,0,1,0,0,0
8,8,8,8,3941,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],None (label),0,0,1,0,1,0
9,9,9,9,469,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_7_23_3.jpg,NP5,0.0,1.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/7/23.jpg,[1220 1280  256  256],None (label),0,1,0,0,0,0
10,10,10,10,2135,cw13-0/cw13-0_6_7_2.jpg,NA (prediction),0.0030203073,0.022811344,0.9890309000000002,cw13-0/0/6/7.jpg,"[0, 367, 256, 256]",NP5,0,0,0,1,1,0
11,11,11,11,3965,cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,cw15-29/0/1/32.jpg,"[223, 471, 256, 256]",consensus_of_2,0,0,0,1,1,0
12,12,12,12,5901,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,NA37UCDtemporalgyri _4G8/0/18/10.jpg,"[1158, 75, 256, 256]",consensus_of_2,0,1,0,0,0,0
13,13,13,13,1994,cw13-0/cw13-0_1_27_21.jpg,NA (prediction),1.0028362e-05,0.0022854318,0.99725384,cw13-0/0/1/27.jpg,"[27, 408, 256, 256]",NP5,0,0,0,1,1,0
