,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,0,0,0,1775,phase1/blobs/NA35UCDtemporalgyri _4G8/NA35UCDtemporalgyri _4G8_5_32_3.jpg,UG2,0.0,1.0,0.0,phase1/10x_tiles/NA35UCDtemporalgyri _4G8/0/5/32.jpg,[  0  86 256 256],None (label),0,1,0,0,0,0
1,1,1,1,3387,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],None (label),1,0,0,0,0,0
2,2,2,2,376,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_17_40_14.jpg,NA (prediction),0.99023634,0.048889678,4.835310800000001e-05,NA28UCDtemporalgyri _4G8/0/17/40.jpg,"[217, 567, 256, 256]",UG2,1,0,0,0,0,0
3,3,3,3,3524,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],None (label),1,0,0,0,0,0
4,4,4,4,1634,phase1/blobs/cw18-10/cw18-10_8_31_17.jpg,UG2,1.0,0.0,0.0,phase1/10x_tiles/cw18-10/0/8/31.jpg,[1244  209  256  256],None (label),0,1,0,0,0,0
5,5,5,5,39,phase1/blobs/cw17-3/cw17-3_19_15_28.jpg,UG2,0.0,1.0,1.0,phase1/10x_tiles/cw17-3/0/19/15.jpg,[ 890 1083  256  256],None (label),0,0,1,0,1,0
6,6,6,6,426,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_3_6.jpg,NA (prediction),0.18416473,0.88469505,0.00021386001,NA37UCDtemporalgyri _4G8/0/8/3.jpg,"[65, 0, 256, 256]",UG2,0,1,0,0,0,0
7,7,7,7,35,phase1/blobs/cw17-3/cw17-3_11_10_8.jpg,UG2,0.0,0.0,1.0,phase1/10x_tiles/cw17-3/0/11/10.jpg,[ 813 1079  256  256],None (label),0,0,1,0,1,0
8,8,8,8,3941,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],None (label),0,0,0,0,0,1
9,9,9,9,469,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_19_27_52.jpg,UG2,0.0,1.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/19/27.jpg,[1052 1280  256  256],None (label),0,1,0,0,1,0
10,10,10,10,2135,cw15-29/cw15-29_22_36_12.jpg,NA (prediction),0.00048824324,0.0004261337,0.9004288,cw15-29/0/22/36.jpg,"[1014, 1280, 256, 256]",UG2,0,0,0,1,0,0
11,11,11,11,3965,cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,cw15-29/0/1/32.jpg,"[223, 471, 256, 256]",consensus_of_2,0,0,0,1,0,0
12,12,12,12,5901,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,NA37UCDtemporalgyri _4G8/0/18/10.jpg,"[1158, 75, 256, 256]",consensus_of_2,0,1,0,0,0,0
13,13,13,13,1994,cw18-48/cw18-48_17_34_12.jpg,NA (prediction),0.012809614,0.009055799,0.5856238,cw18-48/0/17/34.jpg,"[1259, 679, 256, 256]",UG2,0,0,0,1,0,0
14,14,14,14,545,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_6_21_12.jpg,NA (prediction),0.9999677,0.030323101,1.6509959999999997e-08,NA23UCDtemporalgyri _4G8/0/6/21.jpg,"[955, 713, 256, 256]",UG2,1,0,0,0,0,0
15,15,15,15,3936,phase1/blobs/cw17-41/cw17-41_23_28_53.jpg,consensus_of_2,0.0,1.0,5.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1246 1271  256  256],None (label),0,0,0,0,0,1
16,16,16,16,3465,phase1/blobs/cw17-34/cw17-34_23_31_2.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/cw17-34/0/23/31.jpg,[370   0 256 256],None (label),0,1,0,0,0,0
17,17,17,17,5823,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_8.jpg,NA (prediction),0.0034282971000000003,0.053380124,0.9749448,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[523, 236, 256, 256]",consensus_of_2,0,0,1,0,1,0
18,18,18,18,439,phase1/blobs/NA42UCDtemporalgyri _4G8/NA42UCDtemporalgyri _4G8_8_8_4.jpg,UG2,0.0,1.0,0.0,phase1/10x_tiles/NA42UCDtemporalgyri _4G8/0/8/8.jpg,[ 717 1078  256  256],None (label),0,1,0,0,0,0
19,19,19,19,230,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_10_19_11.jpg,NA (prediction),0.73917645,0.94293416,0.00016406777,NA28UCDtemporalgyri _4G8/0/10/19.jpg,"[1265, 58, 256, 256]",UG2,0,1,0,0,0,0
20,20,20,20,33,phase1/blobs/24-3_UTSW_temporal_6E10/24-3_UTSW_temporal_6E10_6_3_1.jpg,UG2,0.0,0.0,1.0,phase1/10x_tiles/24-3_UTSW_temporal_6E10/0/6/3.jpg,[  0   8 256 256],None (label),0,1,0,0,0,0
21,21,21,21,1277,phase1/blobs/cw17-3/cw17-3_9_11_21.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/9/11.jpg,[ 947 1015  256  256],None (label),0,0,1,0,0,0
22,22,22,22,1592,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_5_4_6.jpg,NA (prediction),0.10591649,0.9993437,9.908315999999996e-05,40-3_UTSW_temporal_6E10/0/5/4.jpg,"[1262, 50, 256, 256]",UG2,0,1,0,0,0,0
23,23,23,23,244,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_20_34_18.jpg,NA (prediction),0.9794479,0.98555726,8.833171e-06,NA28UCDtemporalgyri _4G8/0/20/34.jpg,"[630, 412, 256, 256]",UG2,0,1,0,0,0,0
24,24,24,24,519,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_11_22_33.jpg,NA (prediction),0.99500567,0.3634305,4.7481917000000005e-06,40-3_UTSW_temporal_6E10/0/11/22.jpg,"[1063, 775, 256, 256]",UG2,1,0,0,0,0,0
25,25,25,25,3528,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_15_23_13.jpg,consensus_of_2,4.0,0.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/15/23.jpg,[840 864 256 256],None (label),1,0,0,0,0,0
26,26,26,26,1087,phase1/blobs/cw17-41/cw17-41_23_28_35.jpg,consensus_of_2,1.0,4.0,0.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1239  834  256  256],None (label),1,0,0,0,0,0
27,27,27,27,592,phase1/blobs/cw17-3/cw17-3_7_11_7.jpg,UG2,0.0,1.0,0.0,phase1/10x_tiles/cw17-3/0/7/11.jpg,[160 486 256 256],None (label),0,1,0,0,0,0
28,28,28,28,5117,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_16_21.jpg,NA (prediction),0.9882244,0.17883652,0.3577546,NA28UCDtemporalgyri _4G8/0/27/16.jpg,"[843, 123, 256, 256]",consensus_of_2,0,1,1,0,1,0
