,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,cw15-29/0/1/32.jpg,"[223, 471, 256, 256]",consensus_of_2,0,0,0,1,0,0
1,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,NA37UCDtemporalgyri _4G8/0/18/10.jpg,"[1158, 75, 256, 256]",consensus_of_2,0,1,0,0,0,0
2,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_8.jpg,NA (prediction),0.0034282971000000003,0.053380124,0.9749448,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[523, 236, 256, 256]",consensus_of_2,0,0,0,1,0,0
3,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_16_21.jpg,NA (prediction),0.9882244,0.17883652,0.3577546,NA28UCDtemporalgyri _4G8/0/27/16.jpg,"[843, 123, 256, 256]",consensus_of_2,0,1,1,0,1,1
4,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_9_14.jpg,NA (prediction),0.9931961,0.58150005,4.7064193e-05,NA37UCDtemporalgyri _4G8/0/8/9.jpg,"[853, 258, 256, 256]",consensus_of_2,1,1,0,0,0,0
5,cw15-12/cw15-12_28_37_62.jpg,NA (prediction),0.0011299283,0.26538804,0.017977454,cw15-12/0/28/37.jpg,"[1096, 877, 256, 256]",consensus_of_2,0,0,0,1,1,0
6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_4_17_10.jpg,NA (prediction),0.99759054,0.8594886999999999,0.00016681605,17-3_UTSW_temporal_6E10/0/4/17.jpg,"[1220, 360, 256, 256]",consensus_of_2,1,0,0,0,1,0
7,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_19_31_50.jpg,NA (prediction),3.1825366e-05,0.0028852387,0.9999442,NA28UCDtemporalgyri _4G8/0/19/31.jpg,"[1060, 0, 256, 256]",consensus_of_2,0,0,1,0,0,1
8,cw18-48/cw18-48_27_34_9.jpg,NA (prediction),0.9525004,0.46980348,0.0057821404,cw18-48/0/27/34.jpg,"[0, 36, 256, 256]",consensus_of_2,0,0,0,1,1,0
9,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_30_38.jpg,NA (prediction),0.99775463,0.9835286,4.308766599999998e-06,NA28UCDtemporalgyri _4G8/0/8/30.jpg,"[1136, 1280, 256, 256]",consensus_of_2,1,1,0,0,1,0
10,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_12_22_67.jpg,NA (prediction),0.90105486,0.9625383,3.7938964e-05,NA28UCDtemporalgyri _4G8/0/12/22.jpg,"[621, 1242, 256, 256]",consensus_of_2,1,1,0,0,0,0
11,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_23_19_28.jpg,NA (prediction),0.033704136,0.23053774,0.96892166,NA27UCDtemporalgyri _4G8/0/23/19.jpg,"[475, 631, 256, 256]",consensus_of_2,0,0,0,1,1,0
12,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_18.jpg,NA (prediction),9.626745e-06,0.00011706393,0.9975948,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[593, 724, 256, 256]",consensus_of_2,0,0,1,0,1,0
13,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_7_24_4.jpg,NA (prediction),0.0028289144,0.0005699244999999999,0.999987,8-3_UTSW_temporal_6E10/0/7/24.jpg,"[506, 108, 256, 256]",consensus_of_2,0,0,1,0,1,0
14,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_12_12_0.jpg,NA (prediction),4.235031e-05,0.00018346311,0.999998,NA15UCDtemporalgyri _4G8/0/12/12.jpg,"[1280, 0, 256, 256]",consensus_of_2,0,0,1,0,0,0
15,cw15-12/cw15-12_27_41_5.jpg,NA (prediction),0.00042068167,3.549754000000001e-05,0.97288597,cw15-12/0/27/41.jpg,"[1171, 1280, 256, 256]",consensus_of_2,0,0,0,1,1,1
16,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_14_23_26.jpg,NA (prediction),0.9999825,0.21803273,1.3287776000000004e-08,17-3_UTSW_temporal_6E10/0/14/23.jpg,"[1193, 736, 256, 256]",consensus_of_2,1,0,0,0,0,0
17,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_25_13_0.jpg,NA (prediction),0.9220005,0.00035752216,0.5357593,NA28UCDtemporalgyri _4G8/0/25/13.jpg,"[802, 0, 256, 256]",consensus_of_2,0,0,0,1,1,0
18,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_3_15_15.jpg,NA (prediction),0.0018883646,0.041015662,0.9917749,NA15UCDtemporalgyri _4G8/0/3/15.jpg,"[1079, 1245, 256, 256]",consensus_of_2,0,0,1,0,0,0
19,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_13_22_5.jpg,NA (prediction),0.23410885,0.98087156,0.0013545775,NA28UCDtemporalgyri _4G8/0/13/22.jpg,"[693, 0, 256, 256]",consensus_of_2,0,1,0,1,0,0
20,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_16_18_24.jpg,NA (prediction),0.2866184,0.9995851,0.00021712294,17-3_UTSW_temporal_6E10/0/16/18.jpg,"[914, 1190, 256, 256]",consensus_of_2,0,1,0,0,0,0
21,NA23UCDtemporalgyri _4G8/NA23UCDtemporalgyri _4G8_8_25_35.jpg,NA (prediction),1.6207457e-06,0.00012498378,0.9999529,NA23UCDtemporalgyri _4G8/0/8/25.jpg,"[0, 722, 256, 256]",consensus_of_2,0,0,1,0,1,0
22,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_5_34.jpg,NA (prediction),0.90453666,0.98765844,2.2290759e-07,NA37UCDtemporalgyri _4G8/0/8/5.jpg,"[501, 366, 256, 256]",consensus_of_2,0,1,0,0,1,0
