,Unnamed: 0,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,0,phase1/blobs/cw18-10/cw18-10_6_15_24.jpg,NP3,0.0,1.0,0.0,phase1/10x_tiles/cw18-10/0/6/15.jpg,[726 519 256 256],None (label),0,1,0,0,0,0
1,1,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],None (label),1,0,0,0,0,0
2,2,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_24_27_2.jpg,NA (prediction),0.98700666,0.015196419,0.0098096365,NA27UCDtemporalgyri _4G8/0/24/27.jpg,"[0, 140, 256, 256]",NP3,1,0,0,0,0,0
3,3,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],None (label),0,1,0,0,0,0
4,4,phase1/blobs/NA16UCDtemporalgyri _4G8/NA16UCDtemporalgyri _4G8_21_12_0.jpg,NP3,1.0,0.0,0.0,phase1/10x_tiles/NA16UCDtemporalgyri _4G8/0/21/12.jpg,[295   0 256 256],None (label),1,0,0,0,0,0
5,5,phase1/blobs/cw18-2/cw18-2_4_2_51.jpg,NP3,0.0,0.0,1.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[ 725 1051  256  256],None (label),0,0,0,1,0,0
6,6,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_26_5.jpg,NA (prediction),0.906725,0.03897383,1.7063265e-06,NA28UCDtemporalgyri _4G8/0/16/26.jpg,"[1023, 487, 256, 256]",NP3,0,1,0,0,0,0
7,7,phase1/blobs/47-3_UTSW_temporal_6E10/47-3_UTSW_temporal_6E10_18_29_8.jpg,NP3,0.0,0.0,1.0,phase1/10x_tiles/47-3_UTSW_temporal_6E10/0/18/29.jpg,[  36 1001  256  256],None (label),0,0,1,0,0,0
8,8,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],None (label),0,0,0,1,0,0
9,9,phase1/blobs/NA21UCDtemporalgyri _4G8/NA21UCDtemporalgyri _4G8_8_23_21.jpg,NP3,0.0,1.0,0.0,phase1/10x_tiles/NA21UCDtemporalgyri _4G8/0/8/23.jpg,[1280  544  256  256],None (label),0,1,0,0,0,0
10,10,cw13-0/cw13-0_24_14_3.jpg,NA (prediction),0.00010995853,3.6833487e-07,0.997241,cw13-0/0/24/14.jpg,"[1104, 118, 256, 256]",NP3,0,0,0,1,0,0
11,11,cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,cw15-29/0/1/32.jpg,"[223, 471, 256, 256]",consensus_of_2,0,0,0,1,0,0
12,12,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,NA37UCDtemporalgyri _4G8/0/18/10.jpg,"[1158, 75, 256, 256]",consensus_of_2,0,1,0,0,0,0
13,13,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_20_25_22.jpg,NA (prediction),2.724596e-06,3.3561053000000004e-05,0.9996445,NA15UCDtemporalgyri _4G8/0/20/25.jpg,"[252, 772, 256, 256]",NP3,0,0,1,0,0,0
14,14,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_15_1_45.jpg,NA (prediction),0.9841464,0.7750008,6.406394e-07,17-3_UTSW_temporal_6E10/0/15/1.jpg,"[683, 1280, 256, 256]",NP3,1,1,0,0,0,0
