,tilename,username,cored,diffuse,CAA,10xfields,coords,rot,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,phase1/blobs/cw17-41/cw17-41_25_18_32.jpg,NP4,0.0,1.0,0.0,phase1/10x_tiles/cw17-41/0/25/18.jpg,[591 764 256 256],0,None (label),0,1,0,0,1,0
1,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],180,None (label),1,1,0,0,1,0
2,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_24_35_9.jpg,NA (prediction),0.9868398000000002,0.030241186,3.7691367e-05,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/24/35.jpg,[668 398 256 256],0,NP4,1,0,0,0,0,0
3,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],270,None (label),0,1,0,0,0,0
4,phase1/blobs/cw17-32/cw17-32_17_23_13.jpg,NP4,1.0,0.0,0.0,phase1/10x_tiles/cw17-32/0/17/23.jpg,[1280  804  256  256],90,None (label),0,1,0,0,0,0
5,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_28_13_15.jpg,NP4,0.0,0.0,1.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/28/13.jpg,[1079 1280  256  256],90,None (label),0,0,0,1,0,1
6,phase1/blobs/NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_16_33_20.jpg,NA (prediction),0.0012443846,0.99983096,0.0014224157999999998,phase1/10x_tiles/NA28UCDtemporalgyri _4G8/0/16/33.jpg,[1119 239 256 256],0,NP4,0,1,0,0,0,0
7,phase1/blobs/cw17-11/cw17-11_25_22_25.jpg,NP4,0.0,0.0,1.0,phase1/10x_tiles/cw17-11/0/25/22.jpg,[650 676 256 256],270,None (label),0,0,1,0,0,0
8,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],0,None (label),0,0,0,1,0,0
9,phase1/blobs/cw17-11/cw17-11_17_19_7.jpg,NP4,0.0,1.0,0.0,phase1/10x_tiles/cw17-11/0/17/19.jpg,[685  14 256 256],180,None (label),0,1,0,0,1,0
