,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,phase1/blobs/25-3_UTSW_temporal_6E10/25-3_UTSW_temporal_6E10_8_25_48.jpg,NP5,0.0,1.0,0.0,phase1/10x_tiles/25-3_UTSW_temporal_6E10/0/8/25.jpg,[975 119 256 256],None (label),0,1,0,0,0,0
1,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],None (label),1,0,0,0,0,0
2,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_11_14_25.jpg,NA (prediction),0.9436874,0.71348614,9.021438e-05,40-3_UTSW_temporal_6E10/0/11/14.jpg,"[1280, 1280, 256, 256]",NP5,1,1,0,0,0,0
3,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],None (label),1,0,0,0,0,0
4,phase1/blobs/cw17-11/cw17-11_22_30_0.jpg,NP5,1.0,0.0,0.0,phase1/10x_tiles/cw17-11/0/22/30.jpg,[ 31   0 256 256],None (label),0,1,0,0,0,0
5,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_6_36_1.jpg,NP5,0.0,1.0,1.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/6/36.jpg,[568   0 256 256],None (label),0,1,0,0,0,0
6,40-3_UTSW_temporal_6E10/40-3_UTSW_temporal_6E10_14_25_4.jpg,NA (prediction),0.85482526,0.77778816,0.0001091102,40-3_UTSW_temporal_6E10/0/14/25.jpg,"[609, 0, 256, 256]",NP5,0,1,0,0,0,0
7,phase1/blobs/cw17-11/cw17-11_25_22_69.jpg,NP5,0.0,0.0,1.0,phase1/10x_tiles/cw17-11/0/25/22.jpg,[ 358 1157  256  256],None (label),0,0,1,0,0,0
8,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],None (label),0,0,1,0,1,0
9,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_7_23_3.jpg,NP5,0.0,1.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/7/23.jpg,[1220 1280  256  256],None (label),0,1,0,0,0,0
10,cw13-0/cw13-0_6_7_2.jpg,NA (prediction),0.0030203073,0.022811344,0.9890309000000002,cw13-0/0/6/7.jpg,"[0, 367, 256, 256]",NP5,0,0,0,1,1,0
11,cw15-29/cw15-29_1_32_5.jpg,NA (prediction),0.77106255,0.01037826,0.5914318000000001,cw15-29/0/1/32.jpg,"[223, 471, 256, 256]",consensus_of_2,0,0,0,1,1,0
12,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,NA (prediction),0.001630909,0.6479686,0.5774491,NA37UCDtemporalgyri _4G8/0/18/10.jpg,"[1158, 75, 256, 256]",consensus_of_2,0,1,0,0,0,0
13,cw13-0/cw13-0_1_27_21.jpg,NA (prediction),1.0028362e-05,0.0022854318,0.99725384,cw13-0/0/1/27.jpg,"[27, 408, 256, 256]",NP5,0,0,0,1,1,0
14,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_12_28_26.jpg,NA (prediction),0.9321622,0.56228286,1.9814954e-05,17-3_UTSW_temporal_6E10/0/12/28.jpg,"[291, 615, 256, 256]",NP5,1,1,0,0,0,0
15,phase1/blobs/cw17-41/cw17-41_23_28_53.jpg,consensus_of_2,0.0,1.0,5.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1246 1271  256  256],None (label),0,0,1,0,0,0
16,phase1/blobs/cw17-34/cw17-34_23_31_2.jpg,consensus_of_2,5.0,0.0,0.0,phase1/10x_tiles/cw17-34/0/23/31.jpg,[370   0 256 256],None (label),0,1,0,0,0,0
17,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_8.jpg,NA (prediction),0.0034282971000000003,0.053380124,0.9749448,NA15UCDtemporalgyri _4G8/0/21/26.jpg,"[523, 236, 256, 256]",consensus_of_2,0,0,0,1,1,0
18,phase1/blobs/NA35UCDtemporalgyri _4G8/NA35UCDtemporalgyri _4G8_13_34_3.jpg,NP5,0.0,1.0,0.0,phase1/10x_tiles/NA35UCDtemporalgyri _4G8/0/13/34.jpg,[282   0 256 256],None (label),0,1,0,0,0,0
19,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_12_10_3.jpg,NA (prediction),0.9894224,0.02397337,0.0003295232,NA28UCDtemporalgyri _4G8/0/12/10.jpg,"[187, 906, 256, 256]",NP5,1,0,0,0,0,0
20,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_19_24_1.jpg,NP5,0.0,0.0,1.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/19/24.jpg,[1280    0  256  256],None (label),0,0,1,0,0,0
21,phase1/blobs/cw17-3/cw17-3_9_11_21.jpg,consensus_of_2,0.0,0.0,5.0,phase1/10x_tiles/cw17-3/0/9/11.jpg,[ 947 1015  256  256],None (label),0,0,1,0,0,0
22,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_9_20_76.jpg,NA (prediction),0.9485127,0.6424092,0.0016563972,NA28UCDtemporalgyri _4G8/0/9/20.jpg,"[300, 1129, 256, 256]",NP5,0,1,0,1,0,0
23,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_23_33_6.jpg,NA (prediction),0.9913645,0.09211837,0.0002494372,NA28UCDtemporalgyri _4G8/0/23/33.jpg,"[72, 137, 256, 256]",NP5,1,1,0,0,0,0
24,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_18_17_30.jpg,NA (prediction),0.95470816,0.8277993,0.00021066259,NA28UCDtemporalgyri _4G8/0/18/17.jpg,"[1148, 998, 256, 256]",NP5,1,1,0,0,1,0
25,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_15_23_13.jpg,consensus_of_2,4.0,0.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/15/23.jpg,[840 864 256 256],None (label),1,0,0,0,0,0
26,phase1/blobs/cw17-41/cw17-41_23_28_35.jpg,consensus_of_2,1.0,4.0,0.0,phase1/10x_tiles/cw17-41/0/23/28.jpg,[1239  834  256  256],None (label),0,1,0,0,0,0
27,phase1/blobs/13-3_UTSW_temporal_6E10/13-3_UTSW_temporal_6E10_17_20_8.jpg,NP5,0.0,1.0,0.0,phase1/10x_tiles/13-3_UTSW_temporal_6E10/0/17/20.jpg,[773 317 256 256],None (label),0,1,0,0,0,0
28,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_16_21.jpg,NA (prediction),0.9882244,0.17883652,0.3577546,NA28UCDtemporalgyri _4G8/0/27/16.jpg,"[843, 123, 256, 256]",consensus_of_2,1,1,1,0,1,0
29,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_9_14.jpg,NA (prediction),0.9931961,0.58150005,4.7064193e-05,NA37UCDtemporalgyri _4G8/0/8/9.jpg,"[853, 258, 256, 256]",consensus_of_2,0,1,0,0,0,0
30,cw18-48/cw18-48_1_21_9.jpg,NA (prediction),0.9190324,0.0494413,0.0021642025,cw18-48/0/1/21.jpg,"[984, 1189, 256, 256]",NP5,0,0,0,0,0,1
31,NA27UCDtemporalgyri _4G8/NA27UCDtemporalgyri _4G8_17_22_38.jpg,NA (prediction),0.9822943,0.18232723,0.00010403233,NA27UCDtemporalgyri _4G8/0/17/22.jpg,"[828, 803, 256, 256]",NP5,1,1,0,0,0,0
32,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_7_31_17.jpg,NA (prediction),0.9768331,0.104538254,1.412381e-07,NA15UCDtemporalgyri _4G8/0/7/31.jpg,"[778, 1181, 256, 256]",NP5,1,0,0,0,0,0
33,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_14_33_8.jpg,NA (prediction),0.9058133,0.4568077999999999,4.5747674e-05,NA28UCDtemporalgyri _4G8/0/14/33.jpg,"[402, 146, 256, 256]",NP5,1,0,0,0,0,0
34,8-3_UTSW_temporal_6E10/8-3_UTSW_temporal_6E10_0_31_20.jpg,NA (prediction),0.06859886,0.99611294,0.0008283565,8-3_UTSW_temporal_6E10/0/0/31.jpg,"[152, 1204, 256, 256]",NP5,0,1,0,0,0,0
35,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_28_19_36.jpg,NA (prediction),0.90573406,0.68053555,0.00014010475,NA28UCDtemporalgyri _4G8/0/28/19.jpg,"[0, 801, 256, 256]",NP5,0,1,0,0,1,0
36,cw15-12/cw15-12_28_37_62.jpg,NA (prediction),0.0011299283,0.26538804,0.017977454,cw15-12/0/28/37.jpg,"[1096, 877, 256, 256]",consensus_of_2,0,0,0,1,1,0
37,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_4_17_10.jpg,NA (prediction),0.99759054,0.8594886999999999,0.00016681605,17-3_UTSW_temporal_6E10/0/4/17.jpg,"[1220, 360, 256, 256]",consensus_of_2,1,1,0,0,1,0
38,phase1/blobs/14-3_UTSW_temporal_6E10/14-3_UTSW_temporal_6E10_13_23_2.jpg,NP5,1.0,0.0,0.0,phase1/10x_tiles/14-3_UTSW_temporal_6E10/0/13/23.jpg,[726 618 256 256],None (label),0,1,0,0,0,0
39,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_5_4_15.jpg,NA (prediction),0.9124426,0.2697511,5.6150042e-05,17-3_UTSW_temporal_6E10/0/5/4.jpg,"[45, 511, 256, 256]",NP5,1,0,0,0,0,0
