,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,tilename,username,cored,diffuse,CAA,10xfields,coords,prediction_model,cored annotation,diffuse annotation,CAA annotation,negative annotation,flag annotation,notsure annotation
0,0,0,0,0,1775,phase1/blobs/NA35UCDtemporalgyri _4G8/NA35UCDtemporalgyri _4G8_13_34_13.jpg,UG1,0.0,1.0,0.0,phase1/10x_tiles/NA35UCDtemporalgyri _4G8/0/13/34.jpg,[1280  166  256  256],None (label),0,1,0,0,0,0
1,1,1,1,1,3387,phase1/blobs/NA45UCDtemporalgyri _4G8/NA45UCDtemporalgyri _4G8_15_42_18.jpg,consensus_of_2,4.0,2.0,0.0,phase1/10x_tiles/NA45UCDtemporalgyri _4G8/0/15/42.jpg,[1171  876  256  256],None (label),1,0,0,0,0,0
2,2,2,2,2,376,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_27_11.jpg,NA (prediction),0.9411693999999999,0.7295215,7.571224599999997e-06,NA28UCDtemporalgyri _4G8/0/27/27.jpg,"[1168, 135, 256, 256]",UG1,0,1,0,0,0,0
3,3,3,3,3,3524,phase1/blobs/NA6UCDtemporalgyri _4G8/NA6UCDtemporalgyri _4G8_11_8_0.jpg,consensus_of_2,3.0,1.0,0.0,phase1/10x_tiles/NA6UCDtemporalgyri _4G8/0/11/8.jpg,[515   0 256 256],None (label),1,0,0,0,0,0
4,4,4,4,4,1634,phase1/blobs/NA46UCDtemporalgyri _4G8/NA46UCDtemporalgyri _4G8_25_33_9.jpg,UG1,1.0,0.0,0.0,phase1/10x_tiles/NA46UCDtemporalgyri _4G8/0/25/33.jpg,[277 322 256 256],None (label),1,0,0,0,0,0
5,5,5,5,5,39,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_6_3_3.jpg,UG1,1.0,0.0,1.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/6/3.jpg,[ 920 1280  256  256],None (label),0,1,0,0,0,0
6,6,6,6,6,426,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_19_21_61.jpg,NA (prediction),0.24434806,0.9973636,1.8376055e-05,NA28UCDtemporalgyri _4G8/0/19/21.jpg,"[287, 1116, 256, 256]",UG1,0,1,0,0,0,0
7,7,7,7,7,35,phase1/blobs/NA49UCDtemporalgyri _4G8/NA49UCDtemporalgyri _4G8_23_8_34.jpg,UG1,0.0,1.0,1.0,phase1/10x_tiles/NA49UCDtemporalgyri _4G8/0/23/8.jpg,[   0 1077  256  256],None (label),0,0,1,0,0,0
8,8,8,8,8,3941,phase1/blobs/cw18-2/cw18-2_4_2_53.jpg,consensus_of_2,0.0,0.0,4.0,phase1/10x_tiles/cw18-2/0/4/2.jpg,[1280 1238  256  256],None (label),0,0,1,0,0,0
9,9,9,9,9,469,phase1/blobs/cw18-2/cw18-2_22_20_3.jpg,UG1,0.0,1.0,0.0,phase1/10x_tiles/cw18-2/0/22/20.jpg,[1065 1262  256  256],None (label),1,0,0,0,0,0
