,username,sourcetile,imagename,cored,diffuse,CAA,negative,flag,notsure,source
0,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_11.jpg,0.0,1.3,0.0,0.0,0.3,0.0,17-3_UTSW_temporal_6E10
1,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_14.jpg,0.0,2.333333333333333,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
2,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_19.jpg,0.0,2.0,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
3,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_49.jpg,0.0,3.0,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
4,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_51.jpg,0.0,2.0,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
5,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_56.jpg,0.0,1.891304347826087,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
6,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_11.jpg,0.0,2.4308027804279684,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
7,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_12.jpg,0.0,1.7441094619666049,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
8,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_18.jpg,0.0,1.5706521739130437,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
9,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_19.jpg,0.0,1.7743902439024388,0.0,0.0,0.774390243902439,0.0,17-3_UTSW_temporal_6E10
10,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_22.jpg,0.0,2.0,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
11,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_6.jpg,0.0,2.4204561057282445,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
12,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_8.jpg,0.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
13,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_17.jpg,0.0,2.782608695652174,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
14,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_21.jpg,0.0,2.5135135135135136,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
15,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_23.jpg,0.0,3.124779647435897,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
16,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_26.jpg,0.0,3.489583333333333,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
17,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_27.jpg,0.0,3.324882075471698,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
18,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_28.jpg,0.0,3.4887162412134662,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
19,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_29.jpg,0.0,2.17,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
20,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_32.jpg,0.0,2.058723404255319,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
21,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_44.jpg,1.0,0.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
22,NA (prediction),17-3_UTSW_temporal_6E10_10_15,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_15_12.jpg,0.0,2.644666048237477,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
23,NA (prediction),17-3_UTSW_temporal_6E10_10_15,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_15_12.jpg,0.0,2.644666048237477,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
24,NA (prediction),17-3_UTSW_temporal_6E10_10_15,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_15_15.jpg,0.0,1.9242424242424243,0.0,0.0,0.4621212121212121,0.0,17-3_UTSW_temporal_6E10
25,NA (prediction),17-3_UTSW_temporal_6E10_10_15,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_15_4.jpg,0.0,1.4848484848484849,0.0,0.0,0.24242424242424246,0.0,17-3_UTSW_temporal_6E10
26,NA (prediction),17-3_UTSW_temporal_6E10_10_21,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_21_16.jpg,0.0,2.278640059127864,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
27,NA (prediction),17-3_UTSW_temporal_6E10_10_21,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_21_20.jpg,0.0,2.94,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
28,NA (prediction),17-3_UTSW_temporal_6E10_10_21,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_21_22.jpg,0.0,2.123109243697479,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
29,NA (prediction),17-3_UTSW_temporal_6E10_10_21,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_21_43.jpg,0.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
30,NA (prediction),17-3_UTSW_temporal_6E10_10_21,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_21_56.jpg,0.0,1.3722319347319347,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
31,NA (prediction),17-3_UTSW_temporal_6E10_10_21,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_21_60.jpg,0.0,1.914285714285714,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
32,NA (prediction),17-3_UTSW_temporal_6E10_10_24,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_24_18.jpg,1.0,0.6739130434782609,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
33,NA (prediction),17-3_UTSW_temporal_6E10_10_24,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_24_19.jpg,1.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
34,NA (prediction),17-3_UTSW_temporal_6E10_10_25,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_25_23.jpg,0.0,1.6547619047619049,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
35,NA (prediction),17-3_UTSW_temporal_6E10_10_25,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_25_26.jpg,0.0,2.1801544540229885,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
36,NA (prediction),17-3_UTSW_temporal_6E10_10_25,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_25_32.jpg,0.0,1.3845663265306123,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
37,NA (prediction),17-3_UTSW_temporal_6E10_10_27,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_27_23.jpg,0.0,1.2407407407407407,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
