,username,sourcetile,imagename,cored,diffuse,CAA,negative,flag,notsure,source
0,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_26.jpg,1.0,0.5652173913043478,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
1,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_29.jpg,0.5357142857142857,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
2,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_46.jpg,0.6527777777777778,1.4646464646464643,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
3,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_47.jpg,1.0,1.8068181818181817,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
4,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_48.jpg,0.6916666666666667,1.4583333333333333,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
5,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_49.jpg,1.0,2.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
6,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_51.jpg,1.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
7,NA (prediction),17-3_UTSW_temporal_6E10_10_10,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_10_56.jpg,0.8913043478260869,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
8,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_11.jpg,0.0,2.4308027804279684,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
9,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_12.jpg,0.0,1.7441094619666049,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
10,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_18.jpg,0.0,1.5706521739130437,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
11,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_19.jpg,0.0,1.7743902439024388,0.0,0.0,0.774390243902439,0.0,17-3_UTSW_temporal_6E10
12,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_21.jpg,0.0,1.3089278675601104,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
13,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_22.jpg,0.0,2.0,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
14,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_26.jpg,0.0,1.3075757575757576,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
15,NA (prediction),17-3_UTSW_temporal_6E10_10_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_11_6.jpg,0.0,2.4204561057282445,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
16,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_20.jpg,0.0,2.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
17,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_22.jpg,0.0,1.3494897959183674,0.0,0.0,0.3494897959183674,0.0,17-3_UTSW_temporal_6E10
18,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_25.jpg,0.0,2.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
19,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_26.jpg,0.0,1.3163265306122451,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
20,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_44.jpg,0.0,1.7904298082869512,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
21,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_46.jpg,0.0,2.4727272727272727,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
22,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_47.jpg,0.0,2.465909090909091,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
23,NA (prediction),17-3_UTSW_temporal_6E10_10_12,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_12_48.jpg,0.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
24,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_17.jpg,0.0,2.782608695652174,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
25,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_21.jpg,0.5135135135135135,2.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
26,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_23.jpg,0.0,2.907852564102564,0.21692708333333333,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
27,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_26.jpg,0.0,2.625,0.8645833333333334,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
28,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_27.jpg,1.0,2.3248820754716983,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
29,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_28.jpg,1.0,2.4887162412134662,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
30,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_29.jpg,0.0,1.17,1.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
31,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_3.jpg,1.0,0.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
32,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_32.jpg,0.4787234042553192,1.58,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
33,NA (prediction),17-3_UTSW_temporal_6E10_10_13,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_13_44.jpg,1.0,0.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
34,NA (prediction),17-3_UTSW_temporal_6E10_10_15,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_15_12.jpg,0.4227272727272727,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
35,NA (prediction),17-3_UTSW_temporal_6E10_10_15,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_15_15.jpg,1.0,0.4621212121212121,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
36,NA (prediction),17-3_UTSW_temporal_6E10_10_24,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_24_18.jpg,1.0,0.6739130434782609,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
37,NA (prediction),17-3_UTSW_temporal_6E10_10_24,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_24_19.jpg,1.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
38,NA (prediction),17-3_UTSW_temporal_6E10_10_27,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_27_23.jpg,1.0,0.24074074074074076,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
39,NA (prediction),17-3_UTSW_temporal_6E10_10_27,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_27_27.jpg,0.2878787878787879,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
40,NA (prediction),17-3_UTSW_temporal_6E10_10_27,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_27_28.jpg,1.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
41,NA (prediction),17-3_UTSW_temporal_6E10_10_27,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_27_29.jpg,1.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
42,NA (prediction),17-3_UTSW_temporal_6E10_10_27,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_27_33.jpg,1.0,0.3939393939393939,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
43,NA (prediction),17-3_UTSW_temporal_6E10_10_27,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_27_40.jpg,1.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
44,NA (prediction),17-3_UTSW_temporal_6E10_10_5,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_5_17.jpg,0.0,1.3268590455049944,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
45,NA (prediction),17-3_UTSW_temporal_6E10_10_5,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_5_22.jpg,0.0,1.3645833333333333,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
46,NA (prediction),17-3_UTSW_temporal_6E10_10_5,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_5_28.jpg,2.0,0.5,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
47,NA (prediction),17-3_UTSW_temporal_6E10_10_5,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_5_29.jpg,2.0,0.8870967741935484,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
48,NA (prediction),17-3_UTSW_temporal_6E10_10_5,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_5_30.jpg,1.1846153846153846,1.0,0.0,0.0,0.5,0.0,17-3_UTSW_temporal_6E10
49,NA (prediction),17-3_UTSW_temporal_6E10_10_5,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_5_31.jpg,1.0,0.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
50,NA (prediction),17-3_UTSW_temporal_6E10_10_6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_6_10.jpg,0.0,2.4485294117647056,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
51,NA (prediction),17-3_UTSW_temporal_6E10_10_6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_6_11.jpg,0.0,2.847826086956521,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
52,NA (prediction),17-3_UTSW_temporal_6E10_10_6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_6_15.jpg,0.0,1.904255319148936,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
53,NA (prediction),17-3_UTSW_temporal_6E10_10_6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_6_30.jpg,0.0,1.0,1.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
54,NA (prediction),17-3_UTSW_temporal_6E10_10_6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_6_35.jpg,0.0,1.0,0.6590909090909091,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
55,NA (prediction),17-3_UTSW_temporal_6E10_10_6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_6_8.jpg,0.0,2.4669117647058822,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
56,NA (prediction),17-3_UTSW_temporal_6E10_10_7,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_7_0.jpg,1.0,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
57,NA (prediction),17-3_UTSW_temporal_6E10_10_7,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_10_7_6.jpg,0.4808823529411765,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
58,NA (prediction),17-3_UTSW_temporal_6E10_11_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_11_11.jpg,0.0,1.5769230769230769,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
59,NA (prediction),17-3_UTSW_temporal_6E10_11_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_11_4.jpg,0.0,0.0,1.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
60,NA (prediction),17-3_UTSW_temporal_6E10_11_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_11_5.jpg,0.0,1.8846153846153848,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
61,NA (prediction),17-3_UTSW_temporal_6E10_11_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_11_6.jpg,0.0,2.4100580270793035,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
62,NA (prediction),17-3_UTSW_temporal_6E10_11_11,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_11_7.jpg,0.0,1.0,0.8521699819168174,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
63,NA (prediction),17-3_UTSW_temporal_6E10_11_16,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_16_26.jpg,0.0,1.0,0.3885135135135135,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
64,NA (prediction),17-3_UTSW_temporal_6E10_11_16,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_16_28.jpg,0.0,1.0,0.6125,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
65,NA (prediction),17-3_UTSW_temporal_6E10_11_16,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_16_29.jpg,0.0,1.330592105263158,1.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
66,NA (prediction),17-3_UTSW_temporal_6E10_11_16,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_16_34.jpg,0.0,1.8421052631578947,1.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
67,NA (prediction),17-3_UTSW_temporal_6E10_11_17,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_17_20.jpg,0.0,2.0,1.8852459016393444,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
68,NA (prediction),17-3_UTSW_temporal_6E10_11_17,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_17_21.jpg,0.0,1.9134615384615383,1.2593184948242926,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
69,NA (prediction),17-3_UTSW_temporal_6E10_11_17,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_17_22.jpg,0.0,2.3625730994152048,2.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
70,NA (prediction),17-3_UTSW_temporal_6E10_11_17,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_17_25.jpg,0.0,2.8947368421052637,1.9268292682926829,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
71,NA (prediction),17-3_UTSW_temporal_6E10_11_17,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_17_27.jpg,0.0,1.0,1.3558743169398908,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
72,NA (prediction),17-3_UTSW_temporal_6E10_11_18,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_18_13.jpg,0.5912137681159421,1.0208333333333333,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
73,NA (prediction),17-3_UTSW_temporal_6E10_11_18,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_18_33.jpg,0.0,2.0,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
74,NA (prediction),17-3_UTSW_temporal_6E10_11_18,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_18_34.jpg,0.0,2.0,0.0,0.0,1.0,0.0,17-3_UTSW_temporal_6E10
75,NA (prediction),17-3_UTSW_temporal_6E10_11_18,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_18_5.jpg,1.0,1.8947368421052635,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
76,NA (prediction),17-3_UTSW_temporal_6E10_11_18,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_18_8.jpg,1.0,1.7777777777777777,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
77,NA (prediction),17-3_UTSW_temporal_6E10_11_19,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_19_1.jpg,0.2798900595510765,1.0,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
78,NA (prediction),17-3_UTSW_temporal_6E10_11_19,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_11_19_38.jpg,1.0,0.9596273291925466,0.0,0.0,0.0,0.0,17-3_UTSW_temporal_6E10
