,tilename,UG1,UG2,NP1,NP2,NP3,NP4,NP5
0,cw15-29/cw15-29_1_32_5.jpg,"(9.027269697980955e-06, 0.46659430861473083, 0.9999182224273682)","(0.02777104824781418, 0.0035001621581614017, 0.1974678933620453)","(0.23435625433921814, 0.0003175121091771871, 0.8646308779716492)","(0.001499236561357975, 0.003658650442957878, 0.42286521196365356)","(0.004231814760714769, 2.3580374545417726e-05, 0.22199012339115143)","(0.06011460721492767, 0.2763078510761261, 0.437621533870697)","(0.44219377636909485, 0.00040147817344404757, 0.9567044973373413)"
1,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_18_10_5.jpg,"(0.049076687544584274, 0.9866887927055359, 0.054676689207553864)","(0.016420498490333557, 0.979850172996521, 0.00016759072605054826)","(0.021612368524074554, 0.9895221590995789, 0.004766139201819897)","(0.001289415406063199, 0.4220525324344635, 2.105098701576935e-06)","(0.00014000084775034338, 0.5002526640892029, 0.6816456317901611)","(0.009260590188205242, 0.9890953898429871, 2.8913282221765257e-05)","(0.012240813113749027, 0.9685893058776855, 0.00040568402619101107)"
2,NA15UCDtemporalgyri _4G8/NA15UCDtemporalgyri _4G8_21_26_8.jpg,"(6.839449724793667e-06, 0.09181623160839081, 0.9999756813049316)","(9.71289409790188e-06, 0.0022256169468164444, 0.9963260293006897)","(7.674298831261694e-05, 0.10054245591163635, 0.9198276996612549)","(3.877915787597885e-06, 0.0015850320924073458, 0.5037994384765625)","(0.0010895157465711236, 0.002660539234057069, 0.4681967496871948)","(0.0021232380531728268, 0.08996685594320297, 0.8387618064880371)","(9.699166548671201e-05, 0.6912438869476318, 0.9895868301391602)"
3,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_27_16_21.jpg,"(0.0016326189506798983, 0.1525893360376358, 0.9785189628601074)","(0.8791788220405579, 0.00017336815653834492, 0.04465893283486366)","(0.1623828262090683, 0.06327909231185913, 0.9871824979782104)","(0.2482074648141861, 0.008657485246658325, 0.027547821402549744)","(0.6036778092384338, 0.09337787330150604, 0.18792277574539185)","(0.4280630648136139, 0.0014352020807564259, 0.4071236252784729)","(0.02160440944135189, 0.12902167439460754, 0.9804465174674988)"
4,NA37UCDtemporalgyri _4G8/NA37UCDtemporalgyri _4G8_8_9_14.jpg,"(0.610589325428009, 0.803713858127594, 0.007095225155353546)","(0.8765644431114197, 0.5416601896286011, 0.000442314165411517)","(0.9929620623588562, 0.6705018877983093, 1.5601788618369028e-05)","(0.9825373291969299, 0.09593421965837479, 9.471094131185964e-09)","(0.9964703321456909, 0.06350338459014893, 0.00014565869059879333)","(0.4826386868953705, 0.4647676944732666, 0.0004114846815355122)","(0.7933765053749084, 0.3684544265270233, 1.4743584415555233e-06)"
5,cw15-12/cw15-12_28_37_62.jpg,"(0.003671535523608327, 0.12045831233263016, 0.4863030016422272)","(0.0002595274127088487, 0.0021727827843278646, 0.09591056406497955)","(0.004466533195227385, 0.053898170590400696, 0.004676857031881809)","(7.027859101071954e-05, 0.008817632682621479, 0.004960284568369389)","(3.889541403623298e-05, 0.0009175686864182353, 0.034210726618766785)","(0.0009608489344827831, 0.04663429781794548, 0.0033870150800794363)","(0.0027931956574320793, 0.028051063418388367, 0.6021353006362915)"
6,17-3_UTSW_temporal_6E10/17-3_UTSW_temporal_6E10_4_17_10.jpg,"(0.9955400824546814, 0.07686702907085419, 0.00041821421473287046)","(0.9992280006408691, 0.022751837968826294, 1.8483916619516094e-06)","(0.9948980212211609, 0.13917212188243866, 3.857114279526286e-05)","(0.9918333292007446, 0.10109871625900269, 6.169189146021381e-05)","(0.9777081608772278, 0.16462485492229462, 2.9049289878457785e-05)","(0.9919078350067139, 0.5235292911529541, 7.988335710251704e-05)","(0.9914707541465759, 0.06843259185552597, 4.345615889178589e-05)"
7,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_19_31_50.jpg,"(0.03405529260635376, 0.44115230441093445, 0.9330415725708008)","(0.002015789970755577, 0.000626326713245362, 0.9859180450439453)","(2.1004178051953204e-05, 0.0008424716652370989, 0.9997290968894958)","(0.00125489616766572, 0.008812008425593376, 0.9551209807395935)","(0.0018728837603703141, 0.006468810606747866, 0.7030476331710815)","(0.0006869376520626247, 0.13144047558307648, 0.9994722008705139)","(5.174099715077318e-05, 0.2688436806201935, 0.9996323585510254)"
8,cw18-48/cw18-48_27_34_9.jpg,"(0.19635109603405, 0.0006431885412894189, 0.8573694229125977)","(0.0009175638551823795, 0.013702856376767159, 0.020730549469590187)","(0.010915915481746197, 0.0002528374898247421, 0.019280768930912018)","(0.0017937961965799332, 0.0193259809166193, 0.06473791599273682)","(0.00012995398719795048, 0.010083496570587158, 0.00976435374468565)","(0.008197871968150139, 0.011587347835302353, 0.18930929899215698)","(0.005646688397973776, 0.002692792098969221, 0.6049433350563049)"
9,NA28UCDtemporalgyri _4G8/NA28UCDtemporalgyri _4G8_8_30_38.jpg,"(0.8148879408836365, 0.925677478313446, 0.0014442584943026304)","(0.8863431811332703, 0.9396350383758545, 4.255110616213642e-05)","(0.9658922553062439, 0.8758405447006226, 0.02313821390271187)","(0.8698800206184387, 0.694477379322052, 2.0255225763321505e-07)","(0.9626976847648621, 0.8074095249176025, 0.00015307162539102137)","(0.8360204100608826, 0.9855719804763794, 0.001022605923935771)","(0.8815233707427979, 0.7033297419548035, 0.0003935879794880748)"
